ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"109.188.79.159","elite","AS25159","RU","MSK SCARTEL network - FixedIP","71","N/A","4145","socks5","1259","17","2023-03-09T11:07:30.408Z","100","1159","1164"
"119.91.214.119","elite","AS45090","CN","China Internet Network Information Center","210","Tencent cloud computing (Beijing) Co., Ltd.","3389","socks5","52","13","2023-03-09T11:08:16.552Z","90","1029","1140"
"109.87.183.226","elite","AS13188","UA","Triolan","47","N/A","4145","socks5","1206","13","2023-03-09T11:05:20.774Z","86","1006","1164"
"185.6.10.3","elite","AS12552","SE","GlobalConnect AB","35","Internet Vikings International AB","21619","socks5","1170","12","2023-03-09T11:01:44.966Z","100","1133","1133"
"116.62.240.85","elite","AS37963","CN","CNC Group CHINA169 Fujian Province Network","205","Beijing Kuancom Network Technology Co., Ltd.","7890","socks5","1166","8","2023-03-09T11:02:27.982Z","86","971","1128"
"115.76.248.226","elite","AS7552","VN","VIETELGPRS","188","GPRS Services","8080","socks5","997","7","2023-03-09T11:04:52.938Z","49","530","1090"
"139.59.61.193","elite","AS14061","IN","DIGITALOCEAN","141","DigitalOcean, LLC","30199","socks5","507","6","2023-03-09T11:07:54.883Z","100","1156","1157"
"117.242.224.163","elite","AS9829","IN","BSNL Internet","215","N/A","5678","socks5","1160","6","2023-03-09T11:05:11.397Z","52","599","1163"
"196.216.67.2","elite","AS30844","KE","Liquid Telecommunications Ltd","178","LTK KE SME","5678","socks5","873","5","2023-03-09T11:07:10.465Z","49","545","1105"
"147.139.133.15","elite","AS45102","ID","Alibaba.com LLC","162","ALICLOUD-ID","61524","socks5","1011","5","2023-03-09T11:03:54.323Z","100","1189","1194"
"165.227.141.215","elite","AS14061","DE","DigitalOcean, LLC","22","DigitalOcean, LLC","31517","socks5","1252","5","2023-03-09T11:03:12.692Z","100","1114","1114"
"138.197.203.84","elite","AS14061","CA","DigitalOcean, LLC","149","Digital Ocean","7497","socks5","551","4","2023-03-09T11:07:34.505Z","100","1159","1161"
"103.233.152.180","elite","AS17451","ID","BIZNET","204","N/A","1080","socks5","1079","4","2023-03-09T11:04:52.285Z","98","1184","1208"
"128.65.176.170","elite","AS43754","IR","Asiatech Data Transmission company","147","Asiatech Data Transmission Co.","80","socks5","1135","4","2023-03-09T11:05:06.748Z","89","996","1124"
"51.195.209.238","elite","AS16276","GB","OVH SAS","9","Canya Eric","1080","socks5","1251","4","2023-03-09T11:06:16.142Z","98","1152","1179"
"217.12.201.56","elite","AS21100","NL","ITL LLC","11","Green Floid LLC","11337","socks5","1081","4","2023-03-09T11:04:55.826Z","100","1206","1211"
"146.66.138.242","elite","AS201735","ES","PROPHASE ELECTRONICS, S.L.","68","Wifibaleares","8080","socks5","1244","4","2023-03-09T11:05:12.966Z","98","1118","1136"
"75.119.204.161","elite","AS26347","US","New Dream Network, LLC","150","New Dream Network, LLC","7028","socks5","1095","4","2023-03-09T11:04:19.397Z","100","1172","1172"
"80.210.58.174","elite","AS58224","IR","TIC","115","Telecommunication Company of Tehran","5678","socks5","579","3","2023-03-09T11:01:07.447Z","39","462","1200"
"209.97.160.204","elite","AS14061","SG","DigitalOcean, LLC","166","DigitalOcean, LLC","3103","socks5","1048","3","2023-03-09T11:03:07.099Z","100","1198","1204"
"5.9.155.14","elite","AS24940","DE","Hetzner Online GmbH","16","Hetzner","30000","socks5","1153","3","2023-03-09T11:05:01.662Z","100","1098","1098"
"51.255.219.244","elite","AS16276","FR","OVH SAS","5","berdin stephane","7497","socks5","949","3","2023-03-09T11:01:59.142Z","100","1168","1168"
"91.121.79.58","elite","AS16276","FR","OVH SAS","5","OVH ISP","2499","socks5","908","3","2023-03-09T11:06:58.583Z","100","1198","1199"
"92.124.143.26","elite","AS12389","RU","OJSC Sibirtelecom","92","OJSC Sibirtelecom","1080","socks5","1064","2","2023-03-09T11:01:23.762Z","51","570","1107"
"47.90.202.21","elite","AS45102","US","Alibaba.com LLC","79","ALICLOUD-US","24005","socks5","962","2","2023-03-09T11:04:11.068Z","62","683","1099"
"109.195.187.178","elite","AS52207","RU","CJSC \"ER-Telecom Holding\" Tula branch","63","JSC \"ER-Telecom Holding\" Tula Branch","9150","socks5","1190","2","2023-03-09T11:06:52.339Z","100","1206","1209"
"51.83.116.5","elite","AS16276","FR","OVH SAS","5","OVH","18543","socks5","1196","2","2023-03-09T11:06:55.700Z","100","1129","1129"
"157.185.170.32","elite","AS54994","US","Quantil Networks Inc","73","Quantil Networks Inc","26589","socks5","1023","2","2023-03-09T11:04:56.886Z","100","1086","1088"
"198.199.76.62","elite","AS14061","US","DigitalOcean, LLC","81","Digital Ocean","40073","socks5","998","2","2023-03-09T11:01:22.085Z","100","1121","1123"
"190.214.50.158","elite","AS28006","EC","Corporacion Nacional De Telecomunicaciones - CNT EP","176","Comite De LA Unidad De Hemodialisis De LA Provinci","55617","socks5","1170","2","2023-03-09T11:06:29.358Z","99","1103","1110"
"66.33.213.3","elite","AS26347","US","New Dream Network, LLC","80","New Dream Network, LLC","15891","socks5","1153","2","2023-03-09T11:02:34.267Z","100","1190","1191"
"51.15.201.113","elite","AS12876","FR","SCALEWAY","1","ONLINE","15713","socks5","1076","2","2023-03-09T11:03:29.408Z","95","1084","1147"
"38.127.179.249","elite","AS174","US","Cogent Communications","83","Torlandia Trading SRL","11537","socks5","1214","2","2023-03-09T11:06:55.372Z","100","1150","1151"
"138.197.208.93","elite","AS14061","US","DigitalOcean, LLC","152","Digital Ocean","5292","socks5","506","2","2023-03-09T11:02:36.333Z","99","1200","1208"
"41.66.252.134","elite","AS29614","GH","Vodafone Ghana","129","MEO Serv Comunicacpera Mult SA","53281","socks5","1119","2","2023-03-09T11:07:42.127Z","97","1118","1148"
"49.75.17.108","elite","AS4134","CN","Chinanet","230","Chinanet JS","44844","socks5","1118","2","2023-03-09T11:03:14.654Z","80","873","1088"
"37.99.224.225","elite","AS48500","IT","INC-LOW","33","N/A","7497","socks5","877","2","2023-03-09T11:01:05.113Z","99","1142","1158"
"47.106.21.38","elite","AS37963","CN","Hangzhou Alibaba Advertising Co","212","Aliyun Computing Co., LTD","7891","socks5","1117","2","2023-03-09T11:03:05.728Z","92","1049","1139"
"185.247.226.94","elite","AS200651","GB","Flokinet Ltd","54","Flokinet Ltd","16049","socks5","1182","2","2023-03-09T11:02:04.686Z","100","1207","1207"
"212.83.143.147","elite","AS12876","FR","Online S.A.S.","1","ONLINE","50119","socks5","976","2","2023-03-09T11:04:24.224Z","100","1182","1187"
"185.25.119.57","elite","AS200000","UA","Hosting Ukraine LTD","39","new Hosting","7497","socks5","1109","2","2023-03-09T11:03:31.746Z","100","1132","1135"
"43.153.55.253","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","148","Tencent Cloud Computing","443","socks5","1177","2","2023-03-09T11:01:31.639Z","49","572","1160"
"43.134.225.110","elite","AS132203","SG","Aceville Pte.ltd","314","N/A","443","socks5","1108","2","2023-03-09T11:05:05.020Z","76","881","1161"
"170.150.159.18","elite","AS27901","CL","Pacifico Cable SPA.","203","Pacifico Cable SPA","3389","socks5","982","2","2023-03-09T11:04:57.430Z","99","1168","1175"
"120.79.112.57","elite","AS37963","CN","Hangzhou Alibaba Advertising Co","210","Aliyun Computing Co., LTD","51281","socks5","1040","2","2023-03-09T11:01:41.500Z","91","1069","1178"
"36.94.47.62","elite","AS7713","ID","PT. Telekomunikasi Indonesia","213","Telekomunikasi Indonesia","4480","socks5","1072","1","2023-03-09T11:06:35.964Z","100","1200","1203"
"91.226.35.37","elite","AS56622","UA","DVS-Sat LLC","36","DVS-Sat LLC","5678","socks5","1205","1","2023-03-09T11:07:55.499Z","97","1177","1209"
"109.234.39.199","elite","AS207651","NL","Hosting technology LTD","11","Vdsina","26115","socks5","1069","1","2023-03-09T11:01:04.994Z","100","1203","1203"
"195.2.71.201","elite","AS48282","RU","VDSINA","45","N/A","16072","socks5","1055","1","2023-03-09T11:04:08.098Z","82","986","1199"
"178.128.221.243","elite","AS14061","SG","DigitalOcean, LLC","149","Digitalocean","26323","socks5","1239","1","2023-03-09T11:07:02.980Z","99","1196","1209"
"157.90.206.227","elite","AS24940","DE","Hetzner Online GmbH","16","Hetzner","1080","socks5","1244","1","2023-03-09T11:07:37.866Z","80","966","1210"
"116.118.48.140","elite","AS63760","VN","AZDIGI Corporation","206","N/A","33739","socks5","1159","1","2023-03-09T11:06:24.516Z","99","1187","1198"
"20.205.32.51","elite","AS8075","HK","Microsoft Corporation","178","Microsoft Azure Cloud (eastasia)","39149","socks5","1056","1","2023-03-09T11:02:05.296Z","92","1106","1197"
"1.1.1.18","elite","AS13335","AU","Cloudflare, Inc","1","APNIC and Cloudflare DNS Resolver project","80","socks5","1063","1","2023-03-09T11:01:21.143Z","100","1208","1208"
"101.34.29.74","elite","AS45090","CN","Shenzhen Tencent Computer Systems Company Limited","185","Tencent Cloud Computing (Beijing) Co., Ltd","2080","socks5","1040","1","2023-03-09T11:02:05.324Z","59","708","1198"
"110.87.13.5","elite","AS4134","CN","Chinanet","202","Chinanet FJ","23456","socks5","1231","1","2023-03-09T11:07:17.453Z","51","610","1198"
"185.200.38.235","elite","AS202561","TR","High Speed Telekomunikasyon ve Hab. Hiz. Ltd. Sti.","68","High Speed Telekomunikasyon ve Hab. Hiz. Ltd. Sti","10820","socks5","1123","1","2023-03-09T11:04:49.076Z","60","724","1209"
"81.91.157.134","elite","AS206065","IR","Farabord Dadeh Haye Iranian Co.","96","N/A","5678","socks5","1187","1","2023-03-09T11:06:39.183Z","97","1177","1209"
"110.78.147.184","elite","AS131090","TH","CAT-BB","180","N/A","8080","socks5","1149","1","2023-03-09T11:03:03.919Z","79","950","1209"
"1.116.73.168","elite","AS45090","CN","China Internet Network Information Center","182","Tencent cloud computing (Beijing) Co., Ltd.","8989","socks5","1170","1","2023-03-09T11:05:17.396Z","97","1156","1196"
"112.250.106.50","elite","AS4837","CN","China Unicom CHINA169 Shandong Province Network","173","N/A","7302","socks5","1298","1","2023-03-09T11:07:46.106Z","97","1163","1204"
"188.241.45.142","elite","AS199335","GB","Talk Straight Ltd.","16","N/A","2021","socks5","1181","1","2023-03-09T11:04:12.295Z","100","1205","1208"
"101.231.66.130","elite","AS4812","CN","China Telecom (Group)","259","Chinanet SH","80","socks5","1072","1","2023-03-09T11:01:37.043Z","100","1200","1203"
"31.134.99.130","elite","AS56656","SK","DetronicsRoute","37","Detronics s.r.o.","1080","socks5","1095","1","2023-03-09T11:03:17.456Z","99","1191","1204"
"119.13.78.93","elite","AS136907","HK","Huawei International Pte. LTD","261","N/A","1080","socks5","1142","1","2023-03-09T11:03:13.262Z","74","894","1204"
"176.114.131.200","elite","AS43274","RU","Teleradiocompany Teleos-1 Ltd","106","Teleos","1080","socks5","719","1","2023-03-09T11:07:14.760Z","96","1162","1210"
"89.147.205.150","elite","AS39397","AZ","AZSTARNET","94","N/A","3128","socks5","954","1","2023-03-09T11:02:56.541Z","99","1183","1199"
"206.189.15.100","elite","AS14061","NL","DigitalOcean, LLC","17","DigitalOcean, LLC","54330","socks5","1111","1","2023-03-09T11:05:30.592Z","100","1209","1209"
"167.86.92.113","elite","AS51167","DE","Contabo GmbH","18","Contabo GmbH","53526","socks5","1213","1","2023-03-09T11:07:21.712Z","100","1198","1198"
"159.138.47.215","elite","AS136907","HK","Huawei International Pte. Ltd.","246","N/A","1080","socks5","950","1","2023-03-09T11:04:51.302Z","91","1096","1208"
"146.56.191.240","elite","AS31898","KR","Oracle Corporation","356","Oracle Cloud Infrastructure (ap-seoul-1)","44884","socks5","944","1","2023-03-09T11:02:50.028Z","99","1185","1198"
"31.128.248.2","elite","AS208139","UA","ISP Avator","40","\"Merlin-Telekom\" LLC","1080","socks5","858","1","2023-03-09T11:06:13.687Z","97","1176","1210"
"117.88.247.198","elite","AS4134","CN","Chinanet","203","Chinanet JS","44844","socks5","1057","1","2023-03-09T11:04:40.517Z","49","587","1198"
"23.91.98.130","elite","AS135377","HK","Zenlayer Inc","187","UCLOUD","56666","socks5","1048","1","2023-03-09T11:03:57.569Z","98","1188","1210"
"195.239.7.182","elite","AS3216","RU","PJSC \"Vimpelcom\"","80","SoVaMTeLePoRT P2P","29895","socks5","1231","1","2023-03-09T11:06:24.511Z","40","477","1196"
"101.42.107.214","elite","AS45090","CN","Shenzhen Tencent Computer Systems Company Limited","225","Tencent Cloud Computing (Beijing) Co., Ltd","2080","socks5","1152","1","2023-03-09T11:05:18.067Z","96","1160","1210"
